,Scan Date,Scan Number,Scan Link (office), Condition Score Graph Link,Overall Condition Score for Drain,Road,Direction,PSD Link (Office),Height (inches),Gain,Distance From C/W Edge (mm),Survey Distance (m),Filter Drain Length (m),Filter Drain Visible (Yes/No),Scheme Reference,Start Ref,End Ref,GPS Start X,GPS Start Y,GPS End X,GPS End Y,Photo One,"Photo
Two","Photo
Three",Video,Comment
0,2018-01-15,,,,,M11,SBV,,,,,1709.0,,No,11608.0,45/0,43/2+70,51.51.490,000.11.270,51.50.629,00.11.348,,,,,No Filter Drain present. V drain in place. Fall away batter. All lanes to verge. High grass batter starts at 44/4
1,2018-01-15,180115_M11_001,180115_M11_001_COND.jpg,180115_M11_001_COND_Report.pdf,3.0,M11,SBV,,15.0,16.0,600.0,243.0,243,Yes,11608.0,43/2+70,43/0+40,51.50.629,00.11.348,51.50.520,00.11.469,1.0,2.0,,180115_M11_001.avi,Filter Drain present. Very silted to surface. Medium grass batter. Light vegetation. All lanes to centre.
2,2018-01-15,,,,,M11,SBV,,,,250.0,188.0,188,Yes,11608.0,43/0+40,42/8+50,51.50.520,00.11.469,51.50.429,00.11.542,3.0,,,VBOX0021,"Filter drain present within barrier. No scan, video taken. Light vegetation. All lanes to centre. Full grass batter."
3,2018-01-15,180115_M11_002,180115_M11_002_COND.jpg,180115_M11_002_COND_Report.pdf,3.0,M11,SBV,,15.0,16.0,600.0,165.0,165,Yes,11608.0,42/8+50,42/6+90,51.50.429,00.11.542,51.50.344,00.11.585,4.0,,,180115_M11_002.avi,Filter Drain present. Very silted to surface. Medium grass batter. Light vegetation. All lanes to centre.
4,2018-01-15,,,,,M11,SBV,,,,,160.0,0,No,11608.0,42/6+90,42.5+30,51.50.344,00.11.585,51.50.260,00.11.613,,,,,No filter drain present. Dense grass. Fall away batter. All lanes to centre.
5,2018-01-15,,,,,M11,SBV,,,,,59.0,59,Yes,11608.0,42.5+30,42/4+80,51.50.260,00.11.613,51.50.227,00.11.60,,,,VBOX0026,"Filter drain present within barrier. No scan, video taken. Light vegetation. All lanes to centre. Batter begins to build up."
6,2018-01-15,180115_M11_003,180115_M11_003_COND.jpg,180115_M11_003_COND_Report.pdf,4.0,M11,SBV,,15.0,16.0,600.0,206.0,206,Yes,11608.0,42/4+80,42/2+70,51.50.227,00.11.60,51.50.118,00.11.627,5.0,6.0,,180115_M11_003.avi,Filter drain present light vegetation. Medium grass batter. All lanes to centre. Very silted below carriageway.
7,2018-01-15,,,,,M11,SBV,,,,,70.0,0,No,11608.0,42/2+70,42/2,51.50.118,00.11.627,51.50.077,00.11.617,,,,VBOX0028,Possible Filter drain within barrier. High grass batter. Silted to surface. Light vegetation
8,2018-01-15,180115_M11_004,180115_M11_004_COND.jpg,180115_M11_004_COND_Report.pdf,3.0,M11,SBV,,15.0,16.0,600.0,157.0,157,Yes,11608.0,42/2,42/0+40,51.50.077,00.11.617,51.49.995,00.11.598,7.0,,,180115_M11_004.avi,Filter drain present light vegetation. Medium grass batter. All lanes to centre. Very silted below carriageway.
9,2018-01-15,,,,,M11,SBV,,,,,55.0,0,No,11608.0,42/0+40,42/0,51.49.995,00.11.598,51.49.966,00.11.586,,,,VBOX0030,Possible Filter drain within barrier. High grass batter. Silted to surface. Light vegetation
